,Smartphone Name,Price,RAM & Storage,Primary Camera,Display Size,Battery Capacity,Color,Product URL
0,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)","₹19,990",6 GB RAM | 128 GB ROM,64MP Rear Camera,16.74 cm (6.59 inch) Display,5000 mAh Battery,-,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGHH9FVUHCFHTY&lid=LSTMOBGHH9FVUHCFHTYER524U&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGHH9FVUHCFHTY.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
1,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)","₹19,999",-,-,-,-,-,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGDWF8GJTFAXVH&lid=LSTMOBGDWF8GJTFAXVHSZ1LDM&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGDWF8GJTFAXVH.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
2,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)","₹19,999",-,-,-,-,-,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm853d95cf27843?pid=MOBGG6SGT5TVGSG6&lid=LSTMOBGG6SGT5TVGSG60T7YB0&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGG6SGT5TVGSG6.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
3,"OnePlus Nord N20 SE (Celestial Black, 64 GB)  (4 GB RAM)",-,4 GB RAM | 64 GB ROM,50MP Rear Camera,16.66 cm (6.56 inch) Display,5000 mAh Battery,-,https://www.flipkart.com/oneplus-nord-n20-se-celestial-black-64-gb/p/itme892a7e63b13a?pid=MOBGJTBYH2AAFXHV&lid=LSTMOBGJTBYH2AAFXHVKIA5HV&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGJTBYH2AAFXHV.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
4,"OnePlus Nord 2 5G (Blue Haze, 256 GB)  (12 GB RAM)","₹34,499",-,-,-,-,-,https://www.flipkart.com/oneplus-nord-2-5g-blue-haze-256-gb/p/itmc88e4a702db46?pid=MOBGDBFHW7596ZTU&lid=LSTMOBGDBFHW7596ZTUNXAHOC&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGDBFHW7596ZTU.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
5,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)","₹19,799",6 GB RAM | 128 GB ROM,64MP Rear Camera,16.74 cm (6.59 inch) Display,5000 mAh Battery,-,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGHHXQCZQVEQDG&lid=LSTMOBGHHXQCZQVEQDGJKZ8F6&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGHHXQCZQVEQDG.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
6,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)  (6 GB RAM)","₹19,948",-,-,-,-,-,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHBTHF8HPM&lid=LSTMOBGJMUHBTHF8HPM53F99J&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGJMUHBTHF8HPM.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
7,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)","₹28,999",-,-,-,-,-,https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itm97eda8b1a1566?pid=MOBGJMUHBTGNRZXZ&lid=LSTMOBGJMUHBTGNRZXZGYRIEQ&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGJMUHBTGNRZXZ.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
8,"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)","₹33,999",12 GB RAM | 256 GB ROM,50MP Rear Camera,17.02 cm (6.7 inch) Display,4500 mAh Battery,Gray Shadow,https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGHHYEMNFZGE4W&lid=LSTMOBGHHYEMNFZGE4WYWVQKY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGHHYEMNFZGE4W.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
9,"OnePlus Nord N20 SE (Blue Oasis, 64 MB)  (4 MB RAM)","₹14,990",4 MB RAM | 64 MB ROM,50MP Rear Camera,16.66 cm (6.56 inch) Display,5000 mAh Battery,-,https://www.flipkart.com/oneplus-nord-n20-se-blue-oasis-64-mb/p/itme892a7e63b13a?pid=MOBGJTBA9HGYXGUG&lid=LSTMOBGJTBA9HGYXGUGJVYQI0&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGJTBA9HGYXGUG.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
10,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)  (6 GB RAM)",-,-,-,-,-,-,https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGJMUHHJE55ARU&lid=LSTMOBGJMUHHJE55ARUF941HY&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGJMUHHJE55ARU.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
11,"OnePlus Nord N20 SE (Blue Oasis, 64 GB)  (4 GB RAM)","₹14,990",4 GB RAM | 64 GB ROM,50MP Rear Camera,16.66 cm (6.56 inch) Display,5000 mAh Battery,-,https://www.flipkart.com/oneplus-nord-n20-se-blue-oasis-64-gb/p/itmb79f66161f655?pid=MOBGJYU8EGKARKGB&lid=LSTMOBGJYU8EGKARKGBBXLSSE&marketplace=FLIPKART&q=Oneplus+Nord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=c7eb1d13-4435-4bf1-835e-a54a0f131e29.MOBGJYU8EGKARKGB.SEARCH&ppt=hp&ppn=homepage&ssid=j9y0n9gkuo0000001669126929409&qH=53863d4d978d5074
