,Smartphone Name,Price,RAM & Storage,Primary Camera,Display Size,Battery Capacity,Color,Product URL
0,"Google Pixel 4a (Just Black, 128 GB)  (6 GB RAM)",-,6 GB RAM | 128 GB ROM,12.2MP Rear Camera | 8MP Front Camera,14.76 cm (5.81 inch) Full HD+ Display,3140 mAh Battery,Just Black,https://www.flipkart.com/google-pixel-4a-just-black-128-gb/p/itm023b9677aa45d?pid=MOBFUSBNAZGY7HQU&lid=LSTMOBFUSBNAZGY7HQUWHTF0C&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBFUSBNAZGY7HQU.SEARCH&ppt=hp&ppn=homepage&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
1,"vivo T1 44W (Midnight Galaxy, 128 GB)  (4 GB RAM)","₹14,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,Midnight Galaxy,https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVZN29ZJF4&lid=LSTMOBGDRHVZN29ZJF4WEHAX7&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBGDRHVZN29ZJF4.SEARCH&ppt=hp&ppn=homepage&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
2,"vivo T1 44W (Ice Dawn, 128 GB)  (4 GB RAM)","₹14,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,-,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,-,https://www.flipkart.com/vivo-t1-44w-ice-dawn-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVKYHCVG7W&lid=LSTMOBGDRHVKYHCVG7WREJPTJ&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBGDRHVKYHCVG7W.SEARCH&ppt=hp&ppn=homepage&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
3,"vivo T1 44W (Starry Sky, 128 GB)  (6 GB RAM)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,Starry Sky,https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVMW2UDXZY&lid=LSTMOBGDRHVMW2UDXZYJR2BWY&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBGDRHVMW2UDXZY.SEARCH&ppt=hp&ppn=homepage&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
4,"vivo T1 44W (Starry Sky, 128 GB)  (4 GB RAM)","₹14,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,Starry Sky,https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHNBBBBP5&lid=LSTMOBGDRHVHNBBBBP5SY2MJL&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBGDRHVHNBBBBP5.SEARCH&ppt=sp&ppn=sp&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
5,"vivo T1 44W (Midnight Galaxy, 128 GB)  (8 GB RAM)","₹17,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,Midnight Galaxy,https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVWJUFTYQJ&lid=LSTMOBGDRHVWJUFTYQJ2SYXAC&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBGDRHVWJUFTYQJ.SEARCH&ppt=hp&ppn=homepage&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
6,"vivo T1 44W (Midnight Galaxy, 128 GB)  (6 GB RAM)","₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 2MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ AMOLED Display,5000 mAh Lithium Battery,Midnight Galaxy,https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVXFVCGS23&lid=LSTMOBGDRHVXFVCGS23RDLBPG&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBGDRHVXFVCGS23.SEARCH&ppt=hp&ppn=homepage&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
7,"realme C33 (Sandy Gold, 32 GB)  (3 GB RAM)","₹8,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,50MP + 0.3MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Sandy Gold,https://www.flipkart.com/realme-c33-sandy-gold-32-gb/p/itma112335dbe78a?pid=MOBGHBJGF9QZYSZX&lid=LSTMOBGHBJGF9QZYSZXROLVZH&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBGHBJGF9QZYSZX.SEARCH&ppt=hp&ppn=homepage&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
8,"realme C33 (Night Sea, 32 GB)  (3 GB RAM)","₹8,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,50MP + 0.3MP | 5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Night Sea,https://www.flipkart.com/realme-c33-night-sea-32-gb/p/itma112335dbe78a?pid=MOBGHBJGGVPHHTYQ&lid=LSTMOBGHBJGGVPHHTYQPKXLM2&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBGHBJGGVPHHTYQ.SEARCH&ppt=hp&ppn=homepage&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
9,"Infinix Smart 6 (Light Sea Green, 64 GB)  (2 GB RAM)","₹6,499",2 GB RAM | 64 GB ROM | Expandable Upto 512 GB,8 MP + Depth Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Li-ion Polymer Battery,Light Sea Green,https://www.flipkart.com/infinix-smart-6-light-sea-green-64-gb/p/itmd4041ce33d262?pid=MOBGDC6HQJZKSX3K&lid=LSTMOBGDC6HQJZKSX3KUVADVY&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=490e5c4c-4a69-43e5-b95b-a7dc38cd7117.MOBGDC6HQJZKSX3K.SEARCH&ppt=hp&ppn=homepage&ssid=k9k3r329fk0000001669141266126&qH=9b26a23b2cff510d
