Flight Name,Depart Location,Arrival Location,Depart Time,Arrival Time,Total Stop,Total Time,Price,Date of Journey
Go First,New Delhi,Nagpur,20:40,22:10,Non Stop,1h 30m,"5,114",04-02-2023
IndiGo,New Delhi,Nagpur,20:10,21:50,Non Stop,1h 40m,"5,114",04-02-2023
IndiGo,New Delhi,Nagpur,05:15,07:00,Non Stop,1h 45m,"5,114",04-02-2023
IndiGo,New Delhi,Nagpur,09:35,11:20,Non Stop,1h 45m,"5,114",04-02-2023
IndiGo,New Delhi,Nagpur,14:50,16:35,Non Stop,1h 45m,"5,114",04-02-2023
IndiGo,New Delhi,Nagpur,20:20,07:50,1 Stop,11h 30m,"7,023",04-02-2023
IndiGo,New Delhi,Nagpur,23:40,07:50,1 Stop,8h 10m,"7,133",04-02-2023
IndiGo,New Delhi,Nagpur,12:30,20:25,1 Stop,7h 55m,"7,989",04-02-2023
IndiGo,New Delhi,Nagpur,22:00,07:50,1 Stop,9h 50m,"8,384",04-02-2023
IndiGo,New Delhi,Nagpur,05:00,15:30,1 Stop,10h 30m,"8,512",04-02-2023
IndiGo,New Delhi,Nagpur,06:20,15:30,1 Stop,9h 10m,"8,763",04-02-2023
Air India,New Delhi,Nagpur,05:55,07:05,2 Stop(s),25h 10m,"8,886",04-02-2023
IndiGo,New Delhi,Nagpur,09:40,15:30,1 Stop,5h 50m,"9,623",04-02-2023
Air India,New Delhi,Nagpur,21:20,07:05,1 Stop,9h 45m,"9,840",04-02-2023
Air India,New Delhi,Nagpur,20:00,07:05,1 Stop,11h 05m,"9,840",04-02-2023
Air India,New Delhi,Nagpur,17:50,07:05,1 Stop,13h 15m,"9,840",04-02-2023
Air India,New Delhi,Nagpur,14:00,07:05,1 Stop,17h 05m,"9,840",04-02-2023
Air India,New Delhi,Nagpur,10:00,07:05,1 Stop,21h 05m,"9,840",04-02-2023
Air India,New Delhi,Nagpur,09:00,07:05,1 Stop,22h 05m,"9,840",04-02-2023
